"","x"
"1","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE"
"2","REACTOME_BIOLOGICAL_OXIDATIONS"
"3","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"4","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"5","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"6","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"7","REACTOME_CRISTAE_FORMATION"
"8","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"9","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"10","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"11","REACTOME_EPH_EPHRIN_SIGNALING"
"12","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"13","REACTOME_HEMOSTASIS"
"14","REACTOME_HIV_INFECTION"
"15","REACTOME_INFECTIOUS_DISEASE"
"16","REACTOME_INNATE_IMMUNE_SYSTEM"
"17","REACTOME_INTERLEUKIN_10_SIGNALING"
"18","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"19","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"20","REACTOME_MEMBRANE_TRAFFICKING"
"21","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"22","REACTOME_METABOLISM_OF_LIPIDS"
"23","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"24","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"25","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"26","REACTOME_NEUTROPHIL_DEGRANULATION"
"27","REACTOME_NGF_STIMULATED_TRANSCRIPTION"
"28","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"29","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"30","REACTOME_PROTEIN_LOCALIZATION"
"31","REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY"
"32","REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY"
"33","REACTOME_SIGNALING_BY_GPCR"
"34","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"35","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"36","REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE"
"37","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"38","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"39","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"40","REACTOME_TRANSLATION"
"41","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"42","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES"
"43","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
