"","x"
"1","REACTOME_AUTOPHAGY"
"2","REACTOME_BIOLOGICAL_OXIDATIONS"
"3","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"4","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"5","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"6","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"7","REACTOME_CRISTAE_FORMATION"
"8","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"9","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"10","REACTOME_EPH_EPHRIN_SIGNALING"
"11","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"12","REACTOME_HEMOSTASIS"
"13","REACTOME_HIV_INFECTION"
"14","REACTOME_INFECTIOUS_DISEASE"
"15","REACTOME_INNATE_IMMUNE_SYSTEM"
"16","REACTOME_INTERLEUKIN_10_SIGNALING"
"17","REACTOME_INTERLEUKIN_1_SIGNALING"
"18","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"19","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"20","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"21","REACTOME_MEMBRANE_TRAFFICKING"
"22","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"23","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"24","REACTOME_METABOLISM_OF_LIPIDS"
"25","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"26","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"27","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"28","REACTOME_NEUTROPHIL_DEGRANULATION"
"29","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"30","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"31","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"32","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"33","REACTOME_PROTEIN_LOCALIZATION"
"34","REACTOME_RHOQ_GTPASE_CYCLE"
"35","REACTOME_SIGNALING_BY_GPCR"
"36","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"37","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"38","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"39","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"40","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"41","REACTOME_TRANSLATION"
"42","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES"
"43","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
