"","x"
"1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"2","REACTOME_BIOLOGICAL_OXIDATIONS"
"3","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"4","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"5","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"6","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"7","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"8","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"9","REACTOME_EPH_EPHRIN_SIGNALING"
"10","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"11","REACTOME_HEMOSTASIS"
"12","REACTOME_HIV_INFECTION"
"13","REACTOME_INFECTIOUS_DISEASE"
"14","REACTOME_INNATE_IMMUNE_SYSTEM"
"15","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"16","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"17","REACTOME_MEMBRANE_TRAFFICKING"
"18","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"19","REACTOME_METABOLISM_OF_LIPIDS"
"20","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"21","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"22","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"23","REACTOME_NEUTROPHIL_DEGRANULATION"
"24","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"25","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"26","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"27","REACTOME_PROTEIN_LOCALIZATION"
"28","REACTOME_SIGNALING_BY_GPCR"
"29","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"30","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"31","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"32","REACTOME_TCR_SIGNALING"
"33","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"34","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"35","REACTOME_TRANSLATION"
"36","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
